tag,sentence
O,ASX
O,Announcement
O,3rd
O,May
O,2022
O,Assays
O,Confirm
O,Potential
O,for
O,Large
O,Scale
O,Gold
O,Discovery
O,at
O,Circle
O,Valley
O,
O,Broad
O,intercepts
O,of
O,gold
O,mineralisation
O,returned
O,from
O,RC
O,drilling
O,at
O,Circle
O,Valley
O,–
O,testing
O,below
O,a
O,1.2km
O,by
O,400m
O,zone
O,of
O,regolith
O,gold
O,","
O,results
O,include
O,:
B-D,24m
B-E,@
B-P,1.21g/t
B-M,Au
B-E,from
B-D,24m
B-H,(
I-H,22CVRC010
I-H,)
B-E,o
B-D,16m
B-E,@
B-P,3.06g/t
B-M,Au
B-E,from
B-D,32m
B-E,including
B-D,4m
B-E,@
B-P,10.80g/t
B-M,Au
B-H,(
I-H,22CVRC009
I-H,)
B-E,o
B-D,10m
B-E,@
B-P,4.72g/t
B-M,Au
B-E,from
B-D,120m
B-E,including
B-D,4m
B-E,@
B-P,10.20g/t
B-M,Au
O,o
B-H,(
I-H,22CVRC008
I-H,)
O,–
O,hole
O,ends
O,in
O,mineralisation
B-D,4m
B-E,@
B-P,2.51g/t
B-M,Au
B-E,from
B-D,96m
B-H,(
I-H,22CVRC003
I-H,)
O,o
O,
O,These
O,results
O,sit
O,along
O,strike
O,and
O,down
O,dip
O,from
O,the
O,previously
O,reported
O,result
O,from
B-H,22CVRC001
O,","
O,which
O,is
O,restated
O,here
O,with
O,assay
O,results
O,for
O,1m
O,samples
O,(
O,previously
O,reported
B-D,4m
O,composite
O,samples
O,)
O,:
B-D,23m
B-E,@
B-P,5.09g/t
B-M,Au
B-E,from
B-D,13m
B-E,including
B-D,10m
B-E,@
B-P,9.35g/t
B-M,Au
B-E,and
I-E,including
I-E,o
B-D,7m
B-E,@
B-P,2.91g/t
B-M,Au
B-H,(
I-H,22CVRC001
I-H,)
O,
O,Similar
O,to
O,Tropicana
O,","
O,the
O,mineralisation
O,is
O,hosted
O,in
O,gneiss
O,within
O,pyrite-
O,biotite
O,shear
O,zones
O,with
O,higher
O,gold
O,grades
O,associated
O,with
O,k-feldspar
O,alteration
O,
O,The
O,higher-grade
O,mineralisation
O,sits
O,within
O,a
O,10-80m
O,thick
O,zone
O,of
O,lower
O,grade
O,gold
O,mineralisation
O,(
O,≥
O,0.1g/t
O,Au
O,)
O,that
O,thickens
O,and
O,thins
O,along
O,strike
O,","
O,has
O,currently
O,been
O,defined
O,over
O,a
O,strike
O,length
O,of
O,700m
O,and
O,remains
O,open
O,and
O,remains
O,open
O,in
O,all
O,directions
O,
O,Assay
O,results
O,for
O,step-out
O,holes
O,to
O,the
O,north
O,and
O,west
O,remain
O,pending
O,
O,Drilling
O,of
O,additional
O,step-out
O,holes
O,to
O,the
O,north
O,is
O,underway
O,Meeka
O,Gold
O,Limited
O,(
O,ASX
O,:
O,MEK
O,)
O,(
O,“
O,Meeka
O,”
O,or
O,“
O,the
O,Company
O,”
O,)
O,is
O,pleased
O,to
O,provide
O,an
O,update
O,on
O,gold
O,exploration
O,activities
O,currently
O,underway
O,at
O,the
O,Circle
O,Valley
O,Project
O,within
O,the
O,Albany-Fraser
O,Mobile
O,Belt.
O,Following
O,completion
O,of
O,the
O,regional
O,aircore
O,drilling
O,at
O,Circle
O,Valley
O,in
O,March
O,the
O,Company
O,commenced
O,a
O,short
O,program
O,of
O,150m
O,deep
O,RC
O,drill
O,holes
O,at
O,Anomaly
O,A
O,to
O,test
O,below
O,the
O,1.2km
O,by
O,400m
O,zone
O,of
O,regolith
O,gold
O,identified
O,by
O,aircore
O,drilling.
O,Higher-grade
O,mineralisation
O,(
O,≥
O,0.30g/t
O,Au
O,)
O,intercepted
O,by
O,this
O,drilling
O,","
O,as
O,well
O,as
O,the
O,restated
O,individual
O,metre
O,results
O,from
O,the
O,previously
O,reported
O,4m
O,metre
O,composite
O,samples
O,from
O,hole
B-H,22CVRC001
O,","
O,include
O,:
B-E,
B-D,23m
B-E,@
B-P,5.09g/t
B-M,Au
B-E,from
B-D,13m
B-E,including
B-D,10m
B-E,@
B-P,9.35g/t
B-M,Au
B-E,and
I-E,including
B-D,7m
B-E,@
B-P,2.91g/t
B-M,Au
B-H,(
I-H,22CVRC001
I-H,)
B-E,
B-D,24m
B-E,@
B-P,1.21g/t
B-M,Au
B-E,from
B-D,24m
B-H,(
I-H,22CVRC010
I-H,)
B-E,
B-D,16m
B-E,@
B-P,3.06g/t
B-M,Au
B-E,from
B-D,32m
B-E,including
B-D,4m
B-E,@
B-P,10.80g/t
B-M,Au
B-H,(
I-H,22CVRC009
I-H,)
B-E,
B-D,10m
B-E,@
B-P,4.72g/t
