tag,sentence
O,QUARTERLY
O,ACTIVITIES
O,REPORT
O,For
O,the
O,quarter
O,ended
O,31
O,March
O,2022
O,The
O,Directors
O,are
O,pleased
O,to
O,present
O,the
O,March
O,2022
O,Quarterly
O,Activities
O,Report
O,for
O,Prospech
O,Limited
O,(
O,‘
O,Prospech
O,’
O,or
O,‘
O,the
O,Company
O,’
O,)
O,and
O,its
O,controlled
O,entities
O,(
O,‘
O,the
O,Group
O,’
O,)
O,.
O,Highlights
O,DRILLING
O,–
O,ZEMPLIN
O,Date
O,:
O,27
O,April
O,2022
O,Cejkov
O,Project
O,–
O,Zemplin
O,Silver
O,and
O,Base
O,Metals
O,Prospect
O,ASX
O,:
O,PRS
O,
O,Initial
O,results
O,from
O,the
O,first
O,modern
O,exploration
O,drilling
O,at
O,Shares
O,on
O,issue
O,:
O,88
O,","
O,298
O,","
O,593
O,Zemplin
O,have
O,been
O,received
O,with
O,significant
O,intercepts
O,for
O,Market
O,capitalisation
O,:
O,A$4.9M
O,drill
O,holes
B-H,CZDD001
O,–
B-H,CZDD004
O,(
O,Phase
O,1
O,drilling
O,)
O,(
O,@
O,A$0.056
O,)
O,summarised
O,below.
O,Board
O,of
O,Directors
O,
B-H,CZDD006
O,intersected
O,40
O,metres
O,of
O,sulphide
O,breccia
O,from
O,Non-Executive
O,Chairman
O,122
O,metres.
O,Thomas
O,Mann
O,
O,Assay
O,results
O,for
O,drill
O,holes
B-H,CZDD005
O,–
B-H,CZDD010
O,(
O,Phase
O,2
O,Managing
O,Director
O,drilling
O,)
O,are
O,pending.
O,Jason
O,Beckton
O,Executive
O,Director
O,
O,The
O,Zemplin
O,drilling
O,program
O,tested
O,strike
O,and
O,depth
O,John
O,Levings
O,potential
O,of
O,previously
O,discovered
O,","
O,high-grade
O,mineralisation
O,(
O,up
O,to
O,1
O,","
O,220
O,g/t
O,silver
O,)
O,.
O,Executive
O,Director
O,and
O,CFO
O,Peter
O,Nightingale
O,
O,Drone
O,magnetics
O,and
O,LIDAR
O,topographical
O,survey
O,Non-Executive
O,Director
O,completed
O,","
O,defining
O,a
O,covered
O,magnetic
O,high
O,to
O,the
O,south
O,Steve
O,Gemell
O,of
O,Phase
O,2
O,drilling.
O,Company
O,Secretary
O,Richard
O,Edwards
O,Substantial
O,Shareholders
O,Peter
O,Nightingale
O,8.7%
O,Lonway
O,Pty
O,Limited
O,7.9%
O,Robust
O,Resources
O,5.8%
O,Thomas
O,Mann
O,5.0%
O,info@prospech.com.au
O,+61
O,2
O,9300
O,3333
O,Level
O,2
O,","
O,66
O,Hunter
O,Street
O,Sydney
O,","
O,NSW
O,","
O,2000
O,Core
O,from
O,CZDD006
O,at
B-D,130m
O,showing
O,polymetallic
O,(
O,silver
O,","
O,lead
O,","
O,zinc
O,)
O,epithermal
O,mineralisation.
O,1
O,Operations
O,Tenement
O,location
O,map.
O,Cejkov-Zemplin
O,Exploration
O,Licence
O,(
O,100%
O,Prospech
O,)
O,Drilling
O,program
O,at
O,Zemplin
O,Zemplin
O,Prospect
O,–
O,Silver
O,and
O,Base
O,Metals
O,The
O,2022
O,drilling
O,season
O,commenced
O,with
O,Phase
O,2
O,drilling
O,at
O,Zemplin
O,","
O,a
O,silver
O,rich
O,polymetallic
O,epithermal
O,vein
O,system.
O,The
O,discovery
O,was
O,made
O,by
O,the
O,Slovak
O,Government
O,and
O,Rio
O,Tinto
O,in
O,the
O,early
O,1990s
O,but
O,was
O,not
O,followed
O,up
O,until
O,Prospech
O,’
O,s
O,April
O,2021
O,program
O,which
O,produced
O,the
O,following
O,previously
O,reported
O,results
O,:
